"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","14 Feb 2024 18:14:59 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
14-02 18:14:59,,1023508,1120880,163676,5482852,,,,,,,1.360,0.790,0.520,4,0,,,,9,5,5,9,2
14-02 18:15:00,27.628,21.157,49.781,0,0,1045292,1098348,163684,5483436,21266.322,6565.081,0,549.579,0,21.904,2984,4593,1.360,0.790,0.520,1,0,434.088,0,0,9,7,4,9,0
14-02 18:15:01,21.340,20.336,57.494,0,0,1069736,1073936,163712,5483640,194792.335,7011.709,0,6447.317,0,183.779,3674,5171,1.360,0.790,0.520,2,0,329.396,0,0,9,5,4,9,1
14-02 18:15:02,42.179,17.970,38.934,0,0,1091236,1052156,163724,5483908,18299.982,4900.693,0,315.465,0,12.978,4078,6393,1.360,0.790,0.520,2,0,269.543,0,0,9,6,4,9,2
14-02 18:15:03,16.497,9.998,72.485,0.250,0,1216188,926520,163736,5609088,79468.027,6996.594,0,387.922,0,12.997,3050,4340,1.360,0.790,0.520,1,0,97.980,0,0,10,9,4,9,2
14-02 18:15:04,19.533,13.022,66.611,0,0,1220816,919520,163764,5611428,802673.649,20011.299,80.133,1590.647,1.002,34.057,2674,3231,1.410,0.810,0.520,2,0,175.292,0,0,10,10,4,10,2
14-02 18:15:05,28.228,4.497,66.699,0.500,0,1210632,928992,163892,5611720,20328.388,6733.828,255.804,2637.974,15.988,45.965,1433,2160,1.410,0.810,0.520,3,0,29.977,0,0,10,8,4,11,2
14-02 18:15:06,21.762,3.752,68.538,5.253,0,1247880,886336,164252,5616432,196633.952,6399.513,12.007,30864.945,1.001,1523.837,6903,11665,1.410,0.810,0.520,2,0,10.005,0,0,10,10,4,11,2
14-02 18:15:07,21.508,5.502,59.271,10.754,0,1263312,860240,165052,5625992,1981001.122,40075.507,0,40582.691,0,3259.180,15774,27039,1.410,0.810,0.520,3,0,60.022,0,0,10,8,4,11,4
