"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","10 Aug 2025 10:10:28 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
10-08 10:10:28,,966068,888700,185204,5732812,,,,,,,1.680,1.100,0.650,2,0,,,,9,4,6,12,0
10-08 10:10:29,7.494,19.236,71.197,0.250,0,971452,883124,185204,5732980,23837.194,1750.692,0,2070.453,0,196.853,3102,4049,1.680,1.100,0.650,2,0,315.764,0,0,9,3,5,12,1
10-08 10:10:30,9.247,21.493,69.977,0,0,977824,876724,185204,5733008,12845.722,1553.483,0,11.996,0,2.999,2381,3215,1.680,1.100,0.650,1,0,282.906,0,0,9,3,5,12,1
10-08 10:10:31,13.236,18.980,66.181,0,0,977340,877180,185204,5733028,28741.907,1618.306,0,19.979,0,4.995,3426,4915,1.680,1.100,0.650,1,0,233.755,0,0,9,3,5,12,1
10-08 10:10:32,14.492,18.240,65.215,0,0,977404,877096,185204,5733400,24167.143,1565.167,0,15.991,0,3.998,4507,7128,1.550,1.080,0.640,1,0,215.885,0,0,9,3,5,12,1
10-08 10:10:33,6.758,9.511,82.843,0,0,1103680,750744,185204,5858068,14342.077,1607.802,0,28.031,0,3.003,2560,3666,1.550,1.080,0.640,1,0,84.094,0,0,10,5,5,11,1
10-08 10:10:34,16.003,9.502,73.012,0,0,1109328,745076,185204,5858088,9510.531,1620.261,80.013,180.029,1.000,12.002,1654,2215,1.550,1.080,0.640,1,0,109.018,0,0,10,5,5,11,1
10-08 10:10:35,16.761,9.507,73.050,0.500,0,1154168,699864,185204,5858448,5999.115,1459.001,0,584.401,0,28.019,1703,2672,1.550,1.080,0.640,2,0,106.073,0,0,10,5,5,13,1
10-08 10:10:36,23.494,1.999,73.731,0,0,1201828,651268,185208,5859212,20114.830,1619.584,0,2019.481,0,45.988,1293,1665,1.550,1.080,0.640,1,0,1.000,0,0,10,7,5,13,1
10-08 10:10:37,13.757,6.754,67.535,10.255,0,1210720,634388,185212,5867044,15926.298,1694.883,0,32452.908,0,3048.588,13746,26217,1.590,1.100,0.650,2,0,54.028,0,0,10,7,5,13,1
10-08 10:10:38,17.995,7.998,67.983,5.249,0,1141424,701912,185216,5868756,14500.360,1693.575,0,33823.510,0,2522.367,9192,17835,1.590,1.100,0.650,2,0,92.977,0,0,10,5,5,13,1
10-08 10:10:39,22.940,2.244,73.308,0,0,1207948,635384,185216,5868756,8922.641,1561.911,0,873.713,0,30.919,954,1211,1.590,1.100,0.650,1,0,0,0,0,10,5,5,13,1
10-08 10:10:40,22.806,3.759,72.678,0.251,0,1174040,669280,185216,5868768,6817.710,2717.661,0,6127.017,0,368.904,1996,2814,1.590,1.100,0.650,1,0,10.025,0,0,10,5,5,13,2
10-08 10:10:41,24.132,0.995,73.641,0,0,1212596,630724,185216,5868768,14318.170,1612.138,0,87.573,0,9.951,989,1083,1.590,1.100,0.650,1,0,0.995,0,0,10,5,5,13,2
10-08 10:10:42,13.800,20.323,64.734,0,0,1127272,716016,185216,5868800,10643.444,1625.873,0,4.015,0,1.004,2960,7400,1.460,1.080,0.650,1,0,338.222,0,0,10,5,5,14,2
10-08 10:10:43,10.251,20.252,68.756,0,0,1127692,715432,185216,5868952,7879.733,1620.151,0,28.003,0,7.001,2433,3513,1.460,1.080,0.650,2,0,277.026,0,0,10,5,5,13,2
10-08 10:10:44,17.017,18.768,63.062,0.500,0,1135316,707816,185216,5868996,17629.206,2632.569,0,41692.692,0,603.589,6341,8975,1.460,1.080,0.650,1,0,213.208,0,0,10,5,5,13,2
10-08 10:10:45,52.500,11.000,36.500,0,0,1267996,574740,185236,5869808,19391.825,3325.970,0,1539.986,0,20.000,2023,2584,1.460,1.080,0.650,2,0,124.999,0,0,10,7,6,13,1
10-08 10:10:46,58.681,3.995,36.457,0.499,0,1334920,505280,185328,5871904,37894.474,10849.252,0,2545.010,0,85.899,1695,4155,1.460,1.080,0.650,2,0,0,0,0,10,7,6,13,2
10-08 10:10:47,16.248,7.749,74.489,0.500,0,1340856,498004,185392,5873100,36149.469,15230.670,0,1427.782,0,47.993,1916,3353,1.420,1.080,0.650,0,0,117.982,0,0,10,6,6,14,2
10-08 10:10:48,16.249,1.750,79.746,0.750,0,1362096,476584,185432,5873200,19154.119,9748.552,0,1411.935,0,68.997,1352,1826,1.420,1.080,0.650,1,0,0,0,0,10,6,6,14,2
10-08 10:10:49,35.307,6.010,57.343,0.501,0,1439852,398400,185548,5873416,67905.736,15251.647,0,23177.455,0,116.188,2130,2165,1.420,1.080,0.650,1,0,22.036,0,0,10,6,6,14,2
10-08 10:10:50,36.242,3.999,58.486,0.750,0,1478232,343812,185664,5889024,439913.940,16248.230,0,2827.344,0,131.969,2329,2976,1.420,1.080,0.650,2,0,1.000,0,0,10,12,6,14,2
10-08 10:10:51,42.758,7.251,48.009,1.750,0,1427548,371552,186484,5908004,12751.474,1620.314,0,5557.078,0,337.065,3351,4828,1.420,1.080,0.650,2,0,44.009,0,0,10,6,6,16,2
