"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","29 Jan 2026 13:13:43 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
29-01 13:13:43,,997640,474584,177812,6111440,,,,,,,1.300,0.950,0.580,1,0,,,,9,6,6,11,0
29-01 13:13:44,20.211,20.460,56.890,0.499,0,1023568,448152,177828,6111624,44740.338,12738.326,0,1552.992,0,62.878,3350,5342,1.300,0.950,0.580,1,0,363.296,0,0,9,5,6,11,1
29-01 13:13:45,22.777,18.522,57.818,0.501,0,1028924,429596,177900,6124404,366761.678,16997.005,0,1822.145,0,60.071,2867,4165,1.300,0.950,0.580,2,0,320.377,0,0,9,4,6,11,2
29-01 13:13:46,31.257,20.505,45.761,0.750,0.250,1033104,400340,178356,6145992,71933.761,2985.696,0,3168.738,0,109.025,4016,6793,1.360,0.970,0.590,2,0,293.068,0,0,9,4,6,11,2
29-01 13:13:47,32.715,14.984,50.197,0.499,0,1175252,234472,179000,6291492,5042.680,1692.215,0,1794.107,0,59.937,5003,8731,1.360,0.970,0.590,1,0,87.907,0,0,10,4,6,11,2
29-01 13:13:48,29.977,8.743,59.455,1.499,0,1177904,197548,180264,6321056,5242.011,1786.640,0,3553.296,0,153.883,2070,2982,1.360,0.970,0.590,2,0,90.931,0,0,10,6,6,11,2
29-01 13:13:49,33.062,12.774,52.849,1.002,0,1181820,199612,180984,6312876,17113.138,4370.207,80.151,2484.666,1.002,87.164,2648,3768,1.360,0.970,0.590,2,0,195.367,0,0,10,4,6,13,0
29-01 13:13:50,43.756,7.251,49.257,0,0,1199168,181292,180988,6313800,10217.359,1620.215,0,492.065,0,16.002,1381,1436,1.360,0.970,0.590,2,0,10.001,0,0,10,4,6,13,0
29-01 13:13:51,34.746,5.999,53.244,6.249,0,1200284,167516,181840,6324160,13313.482,3718.576,0,25573.085,0,1715.804,8769,14803,1.410,0.990,0.600,4,0,29.997,0,0,10,6,6,13,0
29-01 13:13:52,34.985,10.495,44.981,7.997,0,1224468,141408,182480,6325560,14811.646,4467.084,0,61673.542,0,4478.079,18120,31451,1.410,0.990,0.600,2,0,91.961,0,0,10,5,6,13,0
29-01 13:13:53,41.519,11.005,46.021,0.750,0,1195716,162696,183068,6331128,10931.028,1794.826,44.020,1456.670,10.005,51.023,7569,16542,1.410,0.990,0.600,2,0,89.041,0,0,10,4,6,13,0
