"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","06 Jun 2025 10:31:51 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
06-06 10:31:51,,1037372,854856,176328,5707400,,,,,,,1.250,0.930,0.540,3,0,,,,9,6,6,11,0
06-06 10:31:52,31.466,20.978,46.450,1.249,0,1041616,847960,176352,5709924,1305036.611,32985.705,0,4639.036,0,184.802,4364,6276,1.250,0.930,0.540,3,0,490.475,0,0,9,5,6,11,1
06-06 10:31:53,47.244,18.248,32.246,0.500,0,1078876,795408,176364,5724696,431913.443,17084.881,0,2387.704,0,71.991,4305,6433,1.250,0.930,0.540,3,0,352.956,0,0,9,5,6,11,1
06-06 10:31:54,46.698,20.228,32.464,0.749,0,1183832,667996,177024,5868364,1240659.627,19216.650,0,5729.634,0,147.836,6234,9873,1.390,0.970,0.560,2,0,234.739,0,0,10,4,6,10,2
06-06 10:31:55,56.572,10.764,31.290,0.501,0,1230912,584904,178312,5901760,12000.312,1696.164,0,4021.131,0,169.216,2524,5038,1.390,0.970,0.560,4,0,146.187,0,0,10,6,6,10,2
06-06 10:31:56,45.240,12.247,41.991,0.250,0,1204648,607716,179012,5900748,22075.342,6555.617,79.983,4263.100,1.000,178.962,2730,5559,1.390,0.970,0.560,2,0,176.963,0,0,10,4,6,12,0
06-06 10:31:57,45.262,5.752,49.013,0,0,1213624,598036,179044,5901408,12621.433,1458.397,0,1360.370,0,19.005,1369,1323,1.390,0.970,0.560,2,0,9.002,0,0,10,4,6,12,0
06-06 10:31:58,30.748,6.500,50.246,11.499,0,1207144,587544,180112,5915872,12356.123,3884.724,0,38173.290,0,2977.789,13488,26770,1.390,0.970,0.560,4,0,55.996,0,0,10,6,6,12,0
06-06 10:31:59,34.489,10.497,50.234,4.249,0,1171732,621100,180392,5917244,12905.960,4591.563,0,31578.116,0,2558.199,9248,16627,1.600,1.020,0.570,2,0,97.969,0,0,10,5,6,12,0
06-06 10:32:00,44.771,6.753,46.271,0.250,0,1235188,549472,180980,5923436,6927.200,1962.907,0,1808.836,0,83.038,9111,17060,1.600,1.020,0.570,2,0,14.006,0,0,10,4,6,12,0
06-06 10:32:01,45.488,7.248,45.738,0.500,0,1174992,609196,181072,5923664,8605.823,1693.572,0,9589.574,0,453.885,9815,18252,1.600,1.020,0.570,2,0,22.994,0,0,10,4,6,12,0
06-06 10:32:02,43.256,7.251,49.006,0.500,0,1163256,635260,181120,5911008,6331.836,1620.214,0,852.112,0,33.004,1420,1539,1.600,1.020,0.570,2,0,17.002,0,0,10,4,6,12,0
06-06 10:32:03,35.207,15.481,49.190,0,0,1083720,714780,181124,5911032,5679.117,1530.145,0,1066.707,0,20.975,2426,3443,1.600,1.020,0.570,1,0,257.688,0,0,10,4,6,12,0
06-06 10:32:04,10.259,19.767,69.058,0,0,1081596,716748,181124,5911188,9394.845,1621.354,0,144.120,0,9.008,2441,3465,1.550,1.020,0.580,1,0,264.221,0,0,10,4,6,12,0
06-06 10:32:05,10.248,20.497,68.239,0,0.250,1082796,715356,181124,5911552,5533.148,1619.751,0,27.996,0,6.999,3121,5509,1.550,1.020,0.580,8,0,265.959,0,0,10,4,6,12,0
06-06 10:32:06,32.453,17.225,49.428,0,0,1155136,643120,181124,5911580,5532.950,1617.646,0,0,0,0,3403,6027,1.550,1.020,0.580,2,0,179.738,0,0,10,5,6,12,0
06-06 10:32:07,48.503,2.500,49.254,0,0,1243480,554416,181124,5912052,5049.364,1768.127,0,428.031,0,44.003,1202,1191,1.550,1.020,0.580,2,0,0,0,0,10,5,6,12,0
06-06 10:32:08,35.535,11.762,51.802,0.250,0,1276436,518516,181136,5914812,7920.913,1621.620,0,49929.880,0,612.612,2734,6572,1.550,1.020,0.580,1,0,93.093,0,0,10,4,6,13,0
06-06 10:32:09,2.247,2.247,94.611,0.499,0,1276800,518264,181140,5914848,5822.429,1617.619,0,6702.134,0,218.678,1283,1753,1.430,1,0.570,0,0,24.963,0,0,10,4,6,13,0
06-06 10:32:10,6.013,3.006,90.438,0,0,1300152,494856,181164,5914844,5349.142,1461.043,0,36.075,0,4.008,1057,1398,1.430,1,0.570,1,0,21.044,0,0,10,4,6,13,0
06-06 10:32:11,23.499,2.250,73.998,0,0,1364660,430344,181164,5914852,7194.842,1619.964,0,0,0,0,884,1112,1.430,1,0.570,1,0,0,0,0,10,4,6,13,0
