"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","22 Nov 2024 13:59:20 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
22-11 13:59:20,,1008740,1412852,167672,5201772,,,,,,,1.860,0.990,0.540,2,0,,,,9,6,7,11,0
22-11 13:59:21,37.739,20.244,40.489,0.250,0,1059756,1360848,167756,5202644,97577.483,10642.999,0,3519.008,0,228.935,3766,5440,1.860,0.990,0.540,3,0,457.871,0,0,9,5,7,11,1
22-11 13:59:22,36.005,18.753,44.507,0.250,0,1056228,1361364,167804,5205276,885360.919,26583.961,0,2092.312,0,69.010,4667,6678,1.860,0.990,0.540,3,0,331.049,0,0,9,6,6,11,2
22-11 13:59:23,42.421,20.711,34.685,1.248,0,1071528,1321880,167840,5229052,820111.672,15196.643,9122.977,2798.777,95.821,47.911,5678,8705,1.950,1.020,0.550,3,0,228.573,0,0,9,4,6,11,2
22-11 13:59:24,35.799,17.774,45.312,0.250,0.250,1154668,1235712,167844,5356532,11953.268,3886.289,2639.592,716.976,37.050,33.045,3269,4442,1.950,1.020,0.550,2,0,191.260,0,0,10,6,6,10,2
22-11 13:59:25,32.501,17.501,48.502,0.500,0,1155236,1233664,167860,5357904,24270.825,1620.055,1244.042,816.028,15.001,36.001,2823,3679,1.950,1.020,0.550,2,0,269.009,0,0,10,6,6,12,2
22-11 13:59:26,44.011,5.251,50.262,0.250,0,1224876,1135568,168496,5382524,5670.406,1620.402,0,5241.300,0,128.032,1761,2186,1.950,1.020,0.550,2,0,0,0,0,10,6,6,12,2
22-11 13:59:27,38.221,6.495,47.963,5.995,0,1248388,1084204,170008,5405764,6375.117,1618.760,0,19908.750,0,1139.127,6747,10481,1.950,1.020,0.550,3,0,9.992,0,0,10,8,6,12,2
22-11 13:59:28,29.529,8.008,49.298,13.513,0,1264832,1057048,171072,5413492,12484.135,4358.236,0,41908.735,0,3425.329,16053,25907,1.870,1.020,0.560,6,1,60.058,0,0,10,6,6,12,0
22-11 13:59:29,42.698,8.739,45.445,2.747,0,1167484,1154180,171260,5413640,5802.961,1691.948,0,23151.917,0,1423.274,5247,8613,1.870,1.020,0.560,2,0,80.902,0,0,10,4,6,12,0
22-11 13:59:30,47.000,7.750,45.500,0,0,1220080,1101244,171264,5413964,5373.054,1606.016,0,1528.015,0,59.001,10364,20801,1.870,1.020,0.560,2,0,18.000,0,0,10,4,6,12,0
22-11 13:59:31,44.034,9.007,46.285,0.500,0,1123104,1198136,171288,5414000,5308.055,1695.295,0,7685.872,0,356.272,7192,13986,1.870,1.020,0.560,2,0,28.021,0,0,10,4,6,12,0
22-11 13:59:32,44.264,6.502,48.766,0,0,1077756,1243416,171292,5414020,4974.582,1694.539,0,276.088,0,12.004,1304,1588,1.870,1.020,0.560,4,0,76.024,0,0,10,4,6,12,0
22-11 13:59:33,6.736,22.701,69.351,0,0,1079100,1242120,171296,5414040,8256.315,1690.379,0,32095.252,0,77.833,2757,3858,1.800,1.020,0.560,1,0,277.406,0,0,10,4,6,12,0
22-11 13:59:34,11.012,19.772,68.325,0,0,1079460,1241592,171296,5414188,5429.940,1621.774,0,32.035,0,8.009,2396,3399,1.800,1.020,0.560,2,0,267.292,0,0,10,4,6,12,0
22-11 13:59:35,15.969,18.713,63.626,0,0.250,1084260,1236640,171296,5414420,7732.882,1616.839,0,15.969,0,3.992,3456,7092,1.800,1.020,0.560,1,0,221.567,0,0,10,4,6,12,0
