"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","28 May 2025 20:32:15 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
28-05 20:32:15,,1014796,882968,176064,5702460,,,,,,,1.330,1.020,0.620,2,0,,,,9,7,5,11,0
28-05 20:32:16,36.701,21.721,40.446,0.250,0,1033896,861444,176172,5704664,1268650.471,28075.323,0,3910.752,0,108.854,4029,6096,1.330,1.020,0.620,2,0,473.365,0,0,9,6,5,11,0
28-05 20:32:17,43.754,19.502,35.753,0.500,0,1065284,829360,176212,5705548,45657.653,15407.233,0,2124.170,0,124.010,3617,5556,1.330,1.020,0.620,2,0,348.028,0,0,9,6,5,11,1
28-05 20:32:18,46.524,18.760,32.767,0.500,0,1054864,816344,176452,5726536,1654913.006,26403.466,0,4318.202,0,92.047,7031,13526,1.330,1.020,0.620,4,1,241.123,0,0,9,4,5,11,2
28-05 20:32:19,42.893,7.481,47.881,1.496,0.249,1196604,644804,177220,5877716,10833.004,3635.939,0,2868.851,0,127.682,2793,4114,1.300,1.020,0.630,2,0,15.960,0,0,10,5,5,11,2
28-05 20:32:20,53.366,12.527,33.573,1.253,0,1194240,610668,178548,5909372,1240196.747,16779.378,80.174,5147.159,1.002,153.332,2948,3500,1.300,1.020,0.630,3,0,142.309,0,0,10,6,5,11,2
28-05 20:32:21,56.661,10.234,32.200,0.499,0,1187096,628160,178896,5898332,16570.101,6373.039,0,2575.974,0,70.889,2289,3018,1.300,1.020,0.630,3,0,151.763,0,0,10,5,5,12,0
28-05 20:32:22,43.571,4.758,50.332,1.502,0,1226408,587824,178940,5899408,12780.897,3783.186,0,19944.609,0,854.397,3830,4243,1.300,1.020,0.630,1,1,17.028,0,0,10,7,5,12,0
28-05 20:32:23,33.212,9.739,43.451,11.986,0,1217620,578648,180140,5914588,5676.546,1811.940,0,62816.578,0,4755.593,20709,34809,1.300,1.020,0.630,4,0,65.925,0,0,10,6,5,12,0
28-05 20:32:24,38.032,8.257,52.294,0.751,0,1166448,622108,180772,5920324,13528.445,4771.036,0,8202.940,0,417.353,2781,4004,1.360,1.040,0.640,2,0,82.069,0,0,10,4,5,12,0
28-05 20:32:25,44.995,7.499,46.995,0,0.250,1215672,571996,180852,5921012,4799.443,1619.812,0,899.896,0,29.997,9414,18498,1.360,1.040,0.640,2,0,12.998,0,0,10,4,5,12,0
28-05 20:32:26,41.498,10.500,45.498,0,0,1193136,594228,180928,5921120,6216.720,1585.929,0,6875.691,0,316.986,10604,20430,1.360,1.040,0.640,2,0,31.999,0,0,10,4,5,12,0
28-05 20:32:27,44.765,5.752,49.516,0,0,1092804,709052,180940,5908384,5839.910,1566.512,0,772.253,0,22.007,1285,1386,1.360,1.040,0.640,2,0,17.006,0,0,10,4,5,12,0
28-05 20:32:28,18.698,22.188,57.589,0,0,1072740,728956,180940,5908544,5813.774,1615.491,0,23.933,0,4.986,2975,4715,1.360,1.040,0.640,1,0,420.825,0,0,10,4,5,12,0
28-05 20:32:29,10.273,20.295,69.154,0,0,1073928,727756,180940,5908556,5582.466,1717.836,0,28.063,0,7.016,2348,3318,1.330,1.040,0.640,2,0,262.586,0,0,10,4,5,12,0
28-05 20:32:30,17.501,16.251,65.005,0,0,1080204,721372,180940,5908920,13279.089,1620.133,0,8.001,0,2.000,4717,7640,1.330,1.040,0.640,3,0,158.013,0,0,10,4,5,12,0
28-05 20:32:31,47.442,8.240,44.945,0,0,1212400,588908,180940,5909300,9945.856,1530.132,0,139.829,0,26.967,1838,2214,1.330,1.040,0.640,2,0,121.851,0,0,10,5,5,12,0
