"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","08 Dec 2025 18:45:43 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
08-12 18:45:43,,997720,485072,179788,6098888,,,,,,,1.460,0.910,0.530,2,0,,,,9,6,6,13,0
08-12 18:45:44,22.256,21.005,55.514,0,0,1014876,467652,179796,6099116,63376.288,14684.774,0,1956.503,0,73.019,3308,5105,1.460,0.910,0.530,3,0,376.097,0,0,9,5,6,13,1
08-12 18:45:45,23.256,21.505,55.263,0.500,0,1018760,453188,179808,6109508,232349.461,15129.677,0,1880.457,0,59.014,2738,4216,1.460,0.910,0.530,2,0,336.082,0,0,9,4,6,13,2
08-12 18:45:46,32.771,21.514,44.279,1.001,0,1024532,422780,180288,6131280,211394.984,5083.294,0,3902.529,0,115.075,3985,7970,1.500,0.920,0.540,13,0,284.184,0,0,9,4,6,13,2
08-12 18:45:47,32.248,17.249,49.997,0.250,0,1179764,241884,180944,6278244,5007.659,1619.890,0,13835.059,0,416.972,4464,7046,1.500,0.920,0.540,2,0,113.992,0,0,10,6,6,13,2
08-12 18:45:48,38.039,12.513,48.300,1.502,0,1187300,210776,182132,6297520,5270.460,1695.757,80.083,3591.721,1.001,153.159,2608,3469,1.500,0.920,0.540,2,0,170.176,0,0,10,6,6,13,2
08-12 18:45:49,36.682,8.484,53.151,0.998,0,1241348,150300,183024,6300916,11456.668,4345.908,0,6939.079,0,330.385,2416,2897,1.500,0.920,0.540,2,0,59.888,0,0,10,4,6,15,0
08-12 18:45:50,43.037,6.255,47.291,3.503,0,1207512,181864,183104,6303080,5338.586,1621.393,0,8731.500,0,749.644,5153,7545,1.500,0.920,0.540,3,0,16.014,0,0,10,6,5,15,0
08-12 18:45:51,30.064,7.266,50.107,11.525,0,1202800,171920,183904,6315648,12544.846,3726.976,0,31984.447,0,2528.411,13753,23197,1.460,0.930,0.540,3,0,52.112,0,0,10,6,5,15,0
08-12 18:45:52,37.480,9.495,49.474,3.748,0,1163748,209568,184124,6316604,13549.751,4466.610,0,27805.124,0,1925.970,8548,13787,1.460,0.930,0.540,4,0,103.944,0,0,10,5,5,14,0
08-12 18:45:53,45.891,6.983,45.642,0.998,0,1215396,149728,184808,6322680,5462.022,1789.748,0,7071.199,0,288.315,10578,20130,1.460,0.930,0.540,2,0,13.967,0,0,10,4,5,14,0
08-12 18:45:54,43.828,9.266,45.331,0.250,0,1187064,177444,184916,6323044,6484.517,1622.882,0,7553.415,0,372.662,9465,18268,1.460,0.930,0.540,2,0,23.041,0,0,10,4,5,14,0
08-12 18:45:55,43.766,7.003,48.768,0.250,0,1081276,297460,184928,6310384,6559.407,1620.595,0,1016.373,0,27.010,1547,1792,1.460,0.930,0.540,1,0,32.012,0,0,10,4,5,14,0
08-12 18:45:56,26.233,23.985,49.968,0,0,1075784,302956,184928,6310400,4745.948,1618.959,0,55.964,0,8.994,2951,4910,1.500,0.940,0.550,2,0,452.709,0,0,10,4,5,14,0
08-12 18:45:57,10.738,20.227,67.424,0,0,1083564,294936,184928,6310576,6534.609,1618.170,0,32095.700,0,94.893,2723,3857,1.500,0.940,0.550,3,0,278.685,0,0,10,4,5,14,0
08-12 18:45:58,26.285,18.775,54.072,0,0,1122912,255496,184928,6310936,6828.102,1696.261,0,12.016,0,2.003,4929,9523,1.500,0.940,0.550,2,0,225.300,0,0,10,5,5,14,0
08-12 18:45:59,45.904,4.740,49.396,0,0,1221080,156964,184928,6311412,4656.222,1570.702,0,207.564,0,2.994,1071,1183,1.500,0.940,0.550,2,0,0,0,0,10,5,5,14,0
08-12 18:46:00,48.771,4.002,47.771,0,0,1253164,126280,184928,6310004,6585.845,1662.718,0,508.220,0,52.022,1336,4740,1.500,0.940,0.550,1,0,5.002,0,0,10,4,5,15,0
08-12 18:46:01,5.748,7.498,86.225,0,0,1258168,120808,184932,6310368,7717.777,1693.512,83.976,2391.311,4.999,8.997,1437,2000,1.460,0.940,0.550,0,0,112.967,0,0,10,4,5,15,0
08-12 18:46:02,17.501,9.751,71.504,0.750,0,1312348,126328,182488,6254044,8452.448,1620.086,88.005,145455.709,8.000,1011.054,3862,4910,1.460,0.940,0.550,1,0,24.001,0,0,10,4,5,15,0
08-12 18:46:03,23.504,2.250,73.013,0.250,0,1343880,124676,182040,6224676,6228.134,1620.295,1000.182,3224.587,19.003,76.014,1089,1212,1.460,0.940,0.550,1,0,0,0,0,10,4,5,15,0
08-12 18:46:04,24.006,2.501,71.517,1.250,0,1363756,124452,181972,6205092,9380.214,1620.382,4.001,3768.889,1.000,333.079,3234,5415,1.460,0.940,0.550,1,0,1.000,0,0,10,4,5,17,0
