"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","11 Sep 2025 04:22:25 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
11-09 04:22:25,,1005412,488796,178128,6089764,,,,,,,1.620,0.900,0.500,2,0,,,,9,6,5,11,0
11-09 04:22:26,21.718,21.219,55.418,0.999,0,1018644,459112,178160,6105600,447607.569,19157.819,0,3359.059,0,119.824,3515,5597,1.620,0.900,0.500,2,0,402.408,0,0,9,5,5,11,1
11-09 04:22:27,31.483,24.986,43.476,0.750,0,1029404,426420,178640,6124080,16485.065,1751.051,0,3186.273,0,108.941,3746,6982,1.620,0.900,0.500,2,0,394.786,0,0,9,4,5,11,2
11-09 04:22:28,38.026,19.013,42.529,0.500,0,1042080,390868,179224,6144260,10920.568,1641.137,0,1957.356,0,70.049,4179,8554,1.650,0.910,0.510,2,0,239.166,0,0,9,4,5,11,2
11-09 04:22:29,24.248,6.499,67.993,1.250,0,1162300,234892,180604,6299368,13102.716,1619.841,0,3703.637,0,145.986,2713,4127,1.650,0.910,0.510,0,1,13.999,0,0,10,4,5,10,2
11-09 04:22:30,32.010,9.253,57.019,0.500,0,1160144,244536,181140,6290296,19257.278,4401.435,0,1856.605,0,66.022,2013,2651,1.650,0.910,0.510,2,0,115.038,0,0,10,4,5,10,0
11-09 04:22:31,36.753,13.501,50.004,0,0,1167100,237064,181140,6290792,13208.070,2568.208,80.006,592.048,1.000,19.002,2259,3089,1.650,0.910,0.510,1,0,179.015,0,0,10,5,5,12,0
11-09 04:22:32,42.676,4.492,52.409,0.250,0,1186144,209388,181644,6297816,13858.927,2770.188,0,2855.041,0,24.957,1296,1343,1.650,0.910,0.510,5,0,3.993,0,0,10,4,5,12,0
11-09 04:22:33,30.802,8.264,49.333,11.519,0,1237964,145964,182356,6308180,13351.417,4558.654,0,49122.477,0,3803.386,16240,30231,1.840,0.970,0.520,2,1,59.099,0,0,10,7,5,12,0
11-09 04:22:34,40.668,10.978,44.410,3.493,0,1131232,245112,183064,6313684,12464.746,1790.373,3.992,24310.746,0.998,1778.397,16503,29462,1.840,0.970,0.520,3,0,105.786,0,0,10,4,5,12,0
11-09 04:22:35,46.347,6.263,45.846,0.501,0,1222452,153636,183148,6313808,11176.448,1783.742,0,4156.721,0,149.313,9294,17689,1.840,0.970,0.520,4,0,20.042,0,0,10,4,6,12,0
11-09 04:22:36,44.404,5.239,48.895,0.249,0,1096364,294164,183160,6301128,13468.017,1636.478,0,1105.621,0,42.908,1450,1523,1.840,0.970,0.520,2,0,19.957,0,0,10,4,6,12,0
11-09 04:22:37,41.251,5.000,53.252,0.500,0,1135320,255172,183192,6301140,10220.317,1620.050,0,5968.185,0,326.010,2368,2957,1.840,0.970,0.520,1,0,53.002,0,0,10,4,6,12,0
11-09 04:22:38,16.535,11.023,71.399,0,0,1066904,323664,183192,6301164,14696.760,1589.326,0,28860.405,0,72.151,2471,3512,1.770,0.970,0.530,1,0,181.380,0,0,10,4,6,12,0
11-09 04:22:39,10.228,19.209,69.352,0,0,1067540,322736,183192,6301320,10729.147,1616.557,0,19.957,0,4.989,2438,3472,1.770,0.970,0.530,2,0,275.413,0,0,10,4,6,12,0
11-09 04:22:40,10.747,19.995,68.732,0,0,1070376,319880,183192,6301508,7348.023,1565.579,0,27.992,0,6.998,2490,3553,1.770,0.970,0.530,6,0,266.928,0,0,10,4,6,12,0
11-09 04:22:41,33.006,16.253,50.259,0,0,1146392,243672,183192,6301832,9292.728,1694.315,0,8.001,0,2.000,5335,10352,1.770,0.970,0.530,2,0,194.036,0,0,10,5,6,12,0
11-09 04:22:42,47.458,2.997,49.207,0,0,1236632,152952,183192,6302300,13332.334,1766.454,0,39.965,0,4.996,1252,1140,1.770,0.970,0.530,2,0,0.999,0,0,10,5,6,12,0
11-09 04:22:43,33.532,9.509,56.553,0.751,0,1264908,132536,183204,6294456,12465.780,1513.430,156.148,14089.314,12.011,207.196,2395,6502,1.710,0.970,0.530,0,0,119.113,0,0,10,4,6,13,0
11-09 04:22:44,4.508,2.505,91.923,0,0,1275512,121928,183228,6294436,15629.383,1623.051,160.301,464.874,4.008,26.049,1393,1792,1.710,0.970,0.530,1,0,21.040,0,0,10,4,6,13,0
11-09 04:22:45,22.672,6.478,69.013,0.498,0,1322912,132360,180416,6240156,7906.895,1614.466,470.388,141455.092,12.956,836.134,2638,2661,1.710,0.970,0.530,3,0,0,0,0,10,4,6,13,0
11-09 04:22:46,22.312,4.011,71.950,1.253,0,1350240,126144,180212,6219328,11753.746,1624.526,758.112,1207.364,14.039,174.486,2885,4785,1.710,0.970,0.530,2,0,1.003,0,0,10,10,6,13,0
11-09 04:22:47,21.218,4.743,72.891,0.250,0,1308276,167552,180248,6219988,7977.050,1563.658,595.109,2356.470,19.970,141.788,1534,2117,1.710,0.970,0.530,1,0,41.937,0,0,10,4,6,15,0
11-09 04:22:48,22.752,2.000,73.005,0.750,0,1333764,140868,180864,6220568,7258.479,1620.107,956.063,1512.100,86.006,23.002,1791,2824,1.810,1,0.540,3,0,2.000,0,0,10,27,6,15,0
11-09 04:22:49,21.787,4.758,73.123,0,0,1324676,149908,180868,6220616,4690.895,1514.549,20.034,793.335,1.002,19.032,1369,1924,1.810,1,0.540,2,0,44.074,0,0,10,28,6,16,0
11-09 04:22:50,20.753,9.001,68.511,0,0,1289324,185212,180868,6220664,12476.984,1768.281,64.010,12.002,6.001,3.000,1961,2910,1.810,1,0.540,2,0,156.025,0,0,10,28,6,16,0
11-09 04:22:51,43.264,7.502,48.515,0.250,0,1414864,129092,180552,6152344,9347.935,1608.505,12.004,40.013,2.001,3.001,1517,2109,1.810,1,0.540,2,0,0,0,0,10,29,6,16,0
11-09 04:22:52,46.273,17.509,35.017,0.500,0,1369524,179580,180588,6147168,12499.100,1554.759,1032.504,236.115,37.018,26.013,4080,9027,1.810,1,0.540,6,0,421.206,0,0,10,28,6,19,0
11-09 04:22:53,81.960,16.242,1.749,0,0,1590256,123056,178188,5988428,9356.462,1619.215,2218.924,3658.226,68.967,423.794,3200,4207,2.150,1.080,0.570,10,0,158.923,0,0,10,30,6,19,0
11-09 04:22:54,82.683,10.991,5.745,0,0,1562860,219812,177196,5921728,12927.503,1564.729,219.822,1990.384,18.985,355.711,5299,9727,2.150,1.080,0.570,5,1,99.919,0,0,10,30,6,19,0
11-09 04:22:55,36.030,11.259,52.043,0,0,1318004,464660,177216,5921716,14480.874,1555.275,16.013,500.410,3.002,40.033,2979,6091,2.150,1.080,0.570,2,0,210.172,0,0,10,28,6,19,0
11-09 04:22:56,22.448,3.242,73.579,0.249,0,1360864,421596,177228,5921908,6169.692,1616.252,135.685,115.732,2.993,5.986,1432,2443,2.150,1.080,0.570,1,0,0,0,0,10,29,6,19,0
11-09 04:22:57,20.259,6.253,72.784,0,0,1341656,440780,177232,5921928,12639.827,1694.781,0,200.092,0,21.010,1927,2859,2.150,1.080,0.570,3,0,68.031,0,0,10,28,6,20,0
11-09 04:22:58,23.240,3.249,72.719,0.250,0,1297356,484036,177240,5922964,11553.067,1565.332,1115.524,291.875,10.995,31.986,2213,3698,2.050,1.080,0.580,3,0,8.996,0,0,10,28,6,20,0
11-09 04:22:59,9.507,21.267,67.553,0.751,0,1301616,479308,177272,5923400,7775.103,1513.188,200.157,5464.289,6.005,284.223,3205,4333,2.050,1.080,0.580,1,0,327.257,0,0,10,28,6,20,0
11-09 04:23:00,20.032,25.541,53.085,0,0,1345364,435472,177272,5923488,14527.258,1622.598,80.128,116.186,1.002,16.026,3048,4579,2.050,1.080,0.580,5,0,543.871,0,0,10,28,6,19,0
11-09 04:23:01,81.749,16.500,1.250,0,0,1592520,188260,177280,5923536,8798.930,1619.987,0,147.999,0,13.000,2906,4620,2.050,1.080,0.580,5,0,158.999,0,0,10,30,6,19,0
11-09 04:23:02,81.927,9.242,7.493,0.250,0,1549856,230672,177292,5923776,12550.755,1618.550,3.996,519.534,0.999,59.946,7412,15322,2.050,1.080,0.580,5,0,39.964,0,0,10,30,6,19,0
11-09 04:23:03,81.894,15.527,2.254,0,0,1548688,231608,177312,5923988,8626.208,1568.766,0,408.721,0,35.062,2668,5892,2.370,1.170,0.610,6,0,271.479,0,0,10,29,6,19,0
11-09 04:23:04,82.931,10.491,5.745,0,0,1632052,148040,177312,5924192,8976.585,1618.663,0,179.851,0,8.993,3799,8403,2.370,1.170,0.610,6,0,49.959,0,0,10,30,6,19,0
11-09 04:23:05,70.857,14.221,14.970,0,0,1352968,426556,177460,5924608,15417.779,1508.944,131.733,786.408,3.992,47.903,4239,12549,2.370,1.170,0.610,2,0,247.499,0,0,10,28,6,20,0
11-09 04:23:06,45.060,6.008,49.315,0,0,1438360,341128,177460,5924644,9318.375,1770.351,0,220.293,0,12.016,2402,5246,2.370,1.170,0.610,3,0,0,0,0,10,30,6,20,0
11-09 04:23:07,41.448,17.978,39.701,0.250,0,1388168,391244,177472,5924676,5054.702,1691.892,0,251.686,0,26.966,3236,5331,2.370,1.170,0.610,5,0,377.530,0,0,10,28,6,20,0
11-09 04:23:08,62.118,8.767,28.554,0,0,1506924,272384,177476,5924776,12617.873,1623.071,0,188.356,0,9.017,3684,7989,2.420,1.200,0.620,3,0,0,0,0,10,31,6,21,0
11-09 04:23:09,70.498,16.750,12.500,0,0,1478720,299796,177512,5925532,8849.752,1787.950,575.984,1615.955,7.000,95.997,3795,6604,2.420,1.200,0.620,5,0,257.993,0,0,10,28,6,23,0
11-09 04:23:10,79.498,9.000,11.750,0,0,1513396,264768,177512,5925884,14710.647,1619.961,0,179.996,0,15.000,4184,11014,2.420,1.200,0.620,5,0,31.999,0,0,10,29,6,24,0
11-09 04:23:11,62.583,15.209,21.692,0.249,0,1476620,301520,177512,5925908,10223.682,1454.115,0,386.966,0,28.923,2569,4544,2.420,1.200,0.620,5,0,291.222,0,0,10,28,6,24,0
11-09 04:23:12,62.925,10.780,25.070,0,0,1328100,449944,177532,5925984,7781.633,1624.516,0,437.215,0,44.123,5338,11786,2.420,1.200,0.620,6,0,282.786,0,0,10,28,6,28,0
11-09 04:23:13,67.500,7.750,25.250,0,0,1512908,264976,177532,5926144,15725.984,1693.998,0,224.000,0,9.000,2072,2774,2.470,1.230,0.630,5,0,18.000,0,0,10,29,6,29,0
11-09 04:23:14,61.750,13.750,22.500,0,0,1423256,354440,177540,5926324,12743.975,1619.997,0,255.999,0,23.000,4119,9257,2.470,1.230,0.630,4,0,286.999,0,0,10,28,6,30,0
11-09 04:23:15,61.994,9.499,27.497,0.250,0.250,1445776,331276,177552,5926956,14562.646,1693.842,0,4095.619,0,126.988,5224,10539,2.470,1.230,0.630,4,0,63.994,0,0,10,28,6,30,0
11-09 04:23:16,66.508,9.501,25.003,0,0,1475936,300972,177556,5927096,8965.103,1694.208,0,204.025,0,11.001,1960,2412,2.470,1.230,0.630,4,0,48.006,0,0,10,28,6,30,0
