"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","27 Oct 2025 22:09:52 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
27-10 22:09:52,,985628,491520,182676,6101756,,,,,,,1.650,1.120,0.670,3,0,,,,9,4,6,11,1
27-10 22:09:53,16.477,20.222,60.916,0.749,0,998244,478468,182740,6102056,50419.069,17162.196,0,2943.917,0,112.843,3202,4717,1.750,1.150,0.680,3,0,345.521,0,0,9,5,6,11,1
27-10 22:09:54,27.257,20.005,52.014,0.500,0.250,1017892,458644,182756,6102180,36585.988,11521.145,0,1532.418,0,56.015,2709,4276,1.750,1.150,0.680,2,0,354.097,0,0,9,5,6,11,1
27-10 22:09:55,28.246,17.748,51.493,0.500,0,1035112,441152,182796,6102388,48246.246,14679.945,0,2011.718,0,62.991,4120,6608,1.750,1.150,0.680,2,0,262.963,0,0,9,5,6,11,1
27-10 22:09:56,33.246,15.748,49.744,0.500,0,1177688,280148,182916,6244880,437018.373,15675.041,0,2275.716,0,63.992,5177,9749,1.750,1.150,0.680,3,0,181.977,0,0,10,6,6,10,2
27-10 22:09:57,36.268,14.007,48.024,0.250,0,1174020,259212,183556,6265164,5800.866,1608.795,80.040,2389.180,1.000,87.043,2301,3337,1.750,1.150,0.680,4,0,186.092,0,0,10,8,6,10,2
27-10 22:09:58,40.746,7.499,48.746,1.750,0,1247372,156136,184700,6290664,9283.165,1693.848,0,5623.494,0,160.986,2083,3009,1.770,1.160,0.690,5,0,34.997,0,0,10,6,6,12,2
27-10 22:09:59,40.683,6.240,49.419,2.995,0,1251272,133116,185876,6305924,8860.469,1765.105,3.993,22147.678,0.998,1275.908,6159,10006,1.770,1.160,0.690,3,0,12.979,0,0,10,8,6,12,2
27-10 22:10:00,32.301,7.762,50.080,9.265,0,1173296,216216,186296,6299764,13963.243,4360.947,4.006,34082.293,1.002,3003.785,13669,25121,1.770,1.160,0.690,3,1,62.099,0,0,10,6,6,12,0
27-10 22:10:01,38.252,9.000,49.252,2.500,0,1180132,209064,186328,6300012,14101.663,2838.133,76.004,26461.244,9.000,1728.081,6025,10395,1.770,1.160,0.690,2,0,85.004,0,0,10,5,6,12,0
27-10 22:10:02,44.717,4.747,50.463,0.250,0,1217428,164028,186636,6306396,9686.880,2573.109,31.976,2050.493,7.994,74.945,1295,1383,1.770,1.160,0.690,2,0,2.998,0,0,10,4,6,12,0
27-10 22:10:03,39.938,4.992,52.668,0.749,0,1172692,201188,187212,6312180,14228.831,4635.777,0,8510.740,0,452.295,2314,3258,1.790,1.180,0.700,2,0,14.977,0,0,10,4,6,12,0
27-10 22:10:04,46.782,5.754,46.532,0,0.250,1121548,251580,187288,6312740,5460.719,1513.030,0,868.592,0,41.028,8976,17768,1.790,1.180,0.700,3,0,14.010,0,0,10,4,6,12,0
27-10 22:10:05,26.260,30.511,42.266,0.250,0,1143144,229288,187340,6313248,6582.422,1682.619,164.060,160178.946,8.003,705.260,6173,36154,1.790,1.180,0.700,2,0,455.168,0,0,10,4,6,12,0
27-10 22:10:06,32.017,23.012,44.274,0.250,0,1100020,286424,187348,6300756,10341.574,1620.874,200.108,4282.308,6.003,29.016,4042,7569,1.790,1.180,0.700,4,0,331.179,0,0,10,4,6,12,0
27-10 22:10:07,49.626,12.968,36.658,0.249,0,1186972,198756,187352,6301944,7930.190,1675.814,702.246,7.980,19.950,1.995,2801,5914,1.790,1.180,0.700,2,0,212.469,0,0,10,5,6,12,0
