"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","17 Mar 2026 02:57:23 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
17-03 02:57:23,,982876,443412,180240,6152652,,,,,,,1.260,0.950,0.570,2,0,,,,9,5,6,12,1
17-03 02:57:24,24.969,20.225,54.183,0.499,0,1000856,424996,180252,6152924,44744.561,12392.646,0,1558.070,0,59.926,3085,5340,1.260,0.950,0.570,2,0,384.524,0,0,9,5,6,12,1
17-03 02:57:25,22.012,20.261,55.281,0,0,1019808,405696,180324,6153168,122039.074,15949.027,0,2169.228,0,80.045,2959,4450,1.260,0.950,0.570,3,0,356.202,0,0,9,5,6,12,1
17-03 02:57:26,22.510,19.009,57.776,0.500,0,1025088,387068,180484,6166180,411228.642,20117.033,0,1940.871,0,68.031,4316,8657,1.240,0.950,0.570,0,0,239.107,0,0,9,4,6,12,2
17-03 02:57:27,19.500,11.750,66.500,0.500,0,1152784,253560,180500,6296356,1767641.535,33954.068,0,3128.006,0,51.000,5615,8913,1.240,0.950,0.570,1,0,79.000,0,0,10,4,6,12,2
17-03 02:57:28,37.253,11.751,49.504,0.500,0,1161692,223032,180944,6314828,7495.615,1620.133,80.007,2448.201,1.000,93.008,2300,3081,1.240,0.950,0.570,2,0,132.011,0,0,10,6,6,11,2
17-03 02:57:29,35.251,13.500,50.502,1.250,0,1203788,151684,182320,6339444,6781.244,1694.061,0,5524.199,0,203.007,2943,4066,1.240,0.950,0.570,3,0,155.006,0,0,10,6,6,13,2
17-03 02:57:30,44.398,5.986,48.139,0.249,0,1233392,119452,182564,6339044,9707.595,1710.053,35.917,12076.128,8.979,378.127,2158,2262,1.240,0.950,0.570,3,0,2.993,0,0,10,8,6,13,2
17-03 02:57:31,30.772,10.007,48.285,10.007,0.250,1161488,220304,181704,6311060,15459.285,4403.214,264.193,41826.533,8.006,3100.263,14956,24452,1.380,0.980,0.590,3,0,54.039,0,0,10,6,6,13,0
17-03 02:57:32,36.308,8.263,50.330,5.509,0,1128188,249288,181952,6315128,15911.442,3554.684,412.660,39703.486,13.021,3061.896,11422,22036,1.380,0.980,0.590,1,1,78.125,0,0,10,5,6,13,0
17-03 02:57:33,42.658,6.985,48.646,0.499,0,1199280,172144,182236,6320116,9505.601,2031.640,171.632,6705.610,16.964,304.347,2153,2882,1.380,0.980,0.590,1,0,39.914,0,0,10,4,7,13,0
17-03 02:57:34,39.333,6.514,54.114,0.251,0,1132256,232572,182772,6325048,11506.163,4418.278,0,1823.830,0,44.093,6102,11407,1.380,0.980,0.590,4,0,16.034,0,0,10,4,6,13,0
17-03 02:57:35,43.905,9.480,44.903,0,0,1212432,151432,182856,6325752,8916.731,1616.507,0,7100.655,0,284.385,12870,25501,1.380,0.980,0.590,2,0,12.972,0,0,10,4,6,13,0
17-03 02:57:36,37.830,18.539,44.343,0.752,0,1093892,281824,182916,6315148,10065.217,1665.511,180.380,145306.306,3.006,695.466,3523,3859,1.510,1.020,0.600,3,0,183.387,0,0,10,4,6,13,0
