"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","02 Feb 2026 16:27:56 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
02-02 16:27:56,,1005152,447424,184996,6122956,,,,,,,1.160,0.900,0.530,2,0,,,,9,5,5,12,1
02-02 16:27:57,25.243,18.745,55.485,0.500,0,1029168,422976,184996,6123380,43497.386,13198.476,0,2471.340,0,101.973,3274,4991,1.160,0.900,0.530,1,0,386.897,0,0,9,5,5,12,1
02-02 16:27:58,26.009,23.008,49.766,0.500,0,1027112,399640,185224,6146616,402113.491,11452.745,0,3453.129,0,100.033,3876,6829,1.310,0.930,0.540,1,0,382.125,0,0,9,4,5,12,2
02-02 16:27:59,35.253,18.751,44.003,0.500,0,1054432,351644,185744,6164008,6161.444,1512.109,0,1768.127,0,64.005,4405,9014,1.310,0.930,0.540,4,0,236.017,0,0,9,4,5,12,2
02-02 16:28:00,33.740,15.745,49.985,1.000,0,1184408,192316,187052,6313672,11070.579,1565.516,0,4234.691,0,164.949,4664,7370,1.310,0.930,0.540,2,0,134.958,0,0,10,6,5,12,2
02-02 16:28:01,33.251,15.750,49.001,1.000,0,1181364,164232,188160,6340528,13483.310,2742.063,80.002,3164.073,1.000,110.003,2741,3981,1.310,0.930,0.540,3,0,196.005,0,0,10,7,5,13,2
02-02 16:28:02,44.012,4.001,52.264,0,0,1177060,183748,188176,6325492,11822.275,3232.896,0,1480.410,0,22.006,1276,1310,1.310,0.930,0.540,2,0,4.001,0,0,10,4,5,13,0
02-02 16:28:03,36.148,6.980,49.860,6.232,0,1229668,128212,188516,6327192,14844.288,3770.405,0,25089.499,0,1718.172,9111,14892,1.370,0.950,0.550,3,1,34.902,0,0,10,7,5,13,0
02-02 16:28:04,36.018,9.755,44.522,9.755,0,1227428,127032,188720,6329884,7225.526,2925.428,32.016,50440.615,3.001,3932.919,13545,28677,1.370,0.950,0.550,1,0,60.029,0,0,10,7,5,13,0
02-02 16:28:05,39.017,9.754,49.521,0.750,0,1176280,171020,189296,6335244,16656.145,3588.539,64.027,8631.703,13.006,454.195,9673,19401,1.370,0.950,0.550,2,0,81.035,0,0,10,4,5,13,0
02-02 16:28:06,46.276,6.754,45.776,0.250,0,1223320,123336,189368,6335644,7791.394,1736.980,0,2097.183,0,52.029,10468,20763,1.370,0.950,0.550,4,0,18.010,0,0,10,4,5,13,0
02-02 16:28:07,41.042,9.260,49.050,0.250,0,1167856,191376,189404,6324412,4784.909,1459.497,0,6694.869,0,373.383,2024,3072,1.370,0.950,0.550,3,0,22.023,0,0,10,4,5,13,0
02-02 16:28:08,43.716,6.745,48.962,0,0.250,1101064,258300,189404,6324288,9316.742,1618.739,7.994,563.561,0.999,15.988,1631,1820,1.420,0.970,0.560,3,0,87.932,0,0,10,4,5,13,0
02-02 16:28:09,12.488,25.976,58.945,0.250,0,1082520,276500,189404,6324560,10478.245,1618.493,163.847,169610.093,5.994,721.328,5163,6761,1.420,0.970,0.560,3,0,404.623,0,0,10,4,5,13,0
02-02 16:28:10,8.502,21.004,69.015,0,0,1078704,280380,189404,6324648,10011.132,1694.361,0,28.006,0,7.001,2352,3200,1.420,0.970,0.560,2,0,249.053,0,0,10,4,5,13,0
02-02 16:28:11,22.542,16.781,59.360,0,0,1095792,263036,189408,6325304,9379.436,1849.438,124.231,4348.083,4.007,22.041,4389,8654,1.420,0.970,0.560,3,0,175.326,0,0,10,4,6,13,0
02-02 16:28:12,47.908,5.988,45.413,0.250,0,1204696,153820,189416,6325720,6795.918,1616.887,455.124,0,13.973,0,1364,1530,1.420,0.970,0.560,3,0,62.879,0,0,10,5,6,13,0
