"pcp-dstat 5.3.6 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","28 Apr 2026 01:38:47 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
28-04 01:38:47,,967548,463912,175868,6152280,,,,,,,0.920,0.830,0.570,3,0,,,,9,3,6,11,2
28-04 01:38:48,8.995,21.239,69.464,0.500,0,972212,458912,175868,6152376,10295.646,1585.176,0,47919.082,0,404.790,3121,3997,0.920,0.830,0.570,1,0,283.852,0,0,9,3,6,11,2
28-04 01:38:49,10.239,19.229,70.421,0,0,972720,458512,175868,6152416,9787.068,1660.146,0,7.991,0,1.998,2273,3050,0.920,0.830,0.570,1,0,256.713,0,0,9,3,6,11,2
28-04 01:38:50,9.272,21.299,67.908,0,0,976424,454784,175868,6152784,10663.751,1569.643,0,32.074,0,7.016,2974,5410,0.920,0.830,0.570,9,0,272.633,0,0,9,3,6,11,2
28-04 01:38:51,14.486,18.482,67.183,0,0,977664,453528,175868,6152804,6474.590,1510.505,0,15.984,0,3.996,2921,5279,0.920,0.830,0.570,1,0,204.797,0,0,9,3,5,11,2
28-04 01:38:52,11.736,8.490,78.157,0,0,1092048,339044,175868,6277460,8756.527,2729.735,0,31.962,0,1.998,3451,6756,0.920,0.830,0.570,1,0,47.943,0,0,10,3,5,11,3
28-04 01:38:53,20.038,7.765,71.886,0.250,0,1105336,325480,175888,6277648,31467.726,5616.660,0,7117.509,0,37.070,1812,2482,1,0.850,0.570,2,0,96.183,0,0,10,6,5,11,3
28-04 01:38:54,25.748,12.999,59.746,0.500,0,1135964,294548,175964,6277876,45063.665,12662.063,79.994,1711.873,1.000,68.995,2522,3414,1,0.850,0.570,1,0,184.986,0,0,10,7,5,13,3
28-04 01:38:55,35.929,4.491,58.635,0.499,0,1220308,208684,176068,6279116,24839.191,14026.438,0,3509.105,0,57.886,1376,1717,1,0.850,0.570,2,0,0,0,0,10,7,5,13,3
28-04 01:38:56,30.814,4.259,57.370,6.263,0.251,1243424,180000,176316,6284156,52850.246,14801.877,0,24346.787,0,2109.400,10430,17577,1,0.850,0.570,1,0,34.071,0,0,10,9,5,13,3
28-04 01:38:57,28.958,5.242,52.923,11.234,0,1269620,147996,176880,6289180,96451.050,10812.311,0,46292.829,0,3762.541,17641,29286,1,0.850,0.570,2,0,54.920,0,0,10,9,5,13,3
28-04 01:38:58,26.984,8.495,63.712,0.250,0,1240936,168876,177024,6296512,208088.228,16938.007,0,11665.118,0,106.937,2044,2514,1.080,0.870,0.580,1,0,74.956,0,0,10,6,5,13,4
28-04 01:38:59,27.545,2.504,68.111,0.751,0,1277328,124816,177100,6303812,1127225.268,36895.398,0,8237.485,0,401.658,3185,3690,1.080,0.870,0.580,1,0,1.002,0,0,10,6,5,13,4
28-04 01:39:00,36.682,5.989,55.397,1.248,0,1267916,119768,177568,6316324,763760.987,16822.811,0,3896.775,0,123.771,2338,2808,1.080,0.870,0.580,3,0,10.980,0,0,10,6,5,13,4
28-04 01:39:01,40.568,10.768,47.830,0.250,0,1177532,205024,177596,6319256,7036.773,1588.658,164.275,1843.083,14.023,60.101,2019,2729,1.080,0.870,0.580,2,0,121.203,0,0,10,6,5,13,4
28-04 01:39:02,30.459,21.471,45.938,1.498,0,1185044,175444,178772,6337488,6912.640,1563.883,211.713,5684.303,18.974,370.498,3694,5719,1.080,0.870,0.580,2,0,429.419,0,0,10,6,5,13,4
28-04 01:39:03,32.239,18.494,47.984,0.750,0,1188056,164848,179648,6341872,12350.862,4248.577,343.885,7381.527,9.997,93.969,4226,8830,1.160,0.890,0.590,3,0,236.921,0,0,10,4,5,13,2
28-04 01:39:04,65.507,12.751,21.252,0.250,0,1244808,133584,178764,6317956,10910.211,1458.162,708.079,33971.771,28.003,80.009,2310,3046,1.160,0.890,0.590,3,0,136.015,0,0,10,5,5,13,2
28-04 01:39:05,65.105,6.984,27.938,0.499,0,1261680,156428,177940,6278464,13549.757,4016.036,323.278,12763.512,25.942,518.842,3160,1474,1.160,0.890,0.590,3,0,6.984,0,0,10,5,5,13,2
28-04 01:39:06,45.599,13.530,39.336,0.752,0,1322384,118788,177648,6255876,16839.744,4456.725,4898.689,1555.394,111.243,48.105,2492,8275,1.160,0.890,0.590,1,0,122.267,0,0,10,5,5,14,2
28-04 01:39:07,24.248,8.749,63.746,0.750,0,1328452,121620,177964,6245912,11635.186,1739.878,2863.800,16186.867,78.994,182.987,10014,19525,1.160,0.890,0.590,2,0,35.997,0,0,10,4,5,14,2
28-04 01:39:08,42.561,10.014,45.315,0.250,0,1401412,125272,176848,6171208,11132.019,1556.239,460.663,8832.710,22.032,107.154,7048,14918,1.310,0.930,0.600,2,0,17.024,0,0,10,4,5,13,2
